id,percent_change_24h,percent_change_7d
tychocoin,11.9,22.44
posw-coin,11.92,39.22
tittiecoin,11.93,-19.25
icos,12.33,-11.79
sphere,12.34,55.01
bluecoin,12.35,128.65
fantomcoin,12.54,-6.92
the-vegan-initiative,12.56,17.44
ink,12.7,47.46
icobid,12.72,19.67
fastcoin,12.79,-3.55
pulse,12.94,0.7
pirate-blocks,12.95,-2.55
omni,12.99,30.14
bata,13.01,21.61
chronos,13.08,2.9
sphre-air,13.17,5.71
bipcoin,13.2,21.14
bitcoin-silver,13.25,354.85
kronecoin,13.26,23.93
spots,13.3,32.47
ethereum-dark,13.39,80.74
tao,13.39,179.54
flavorcoin,13.4,17.55
bcap,13.42,32.5
the-cypherfunks,13.54,30.89
mintcoin,13.56,-15.1
shadowcash,13.56,33.52
theresa-may-coin,13.75,-17.93
gbcgoldcoin,13.78,-43.3
centurion,13.81,-43.58
cbd-crystals,13.9,25.83
globalboost-y,14.11,24.31
bittokens,14.22,46.12
cycling-coin,14.49,-10.34
xp,14.56,59.41
